순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
14,9788956057842,32685521,당신 인생의 이야기,"15,300원",850원,테드 창 저/김상훈 역,엘리,"머리를 쓰는데 가슴이 뜨거워진다! 
이렇게 가슴 벅찬 SF라니!

최고의 과학소설 작가, 테드 창 작품 영화화!
「시카리오」 드니 빌뇌브 감독, 11월 개봉작 SF 「컨택트」 원작! 

전혀 다른 차원의 소재와 전혀 다른 스타일의 전개로
최고의 과학소설에 수여되는 모든 상을 석권한 엄청난 소설! 

단 한 권의 작품집으로 “전 시대를 통틀어 가장 위대한 과학 단편소설 작가 중의 한 명”이라는 명성을 얻은 테드 창의 『당신 인생의 이야기』가 출간됐다. 최고의 과학소설에 수여되는 네뷸러상, 휴고상, 로커스상, 스터전상, 캠벨상, 아시모프상, 세이운상, 라츠비츠상을 모두 석권한 이 책은 과학이 줄 수 있는 최고의 지적 상상력과 소설이 줄 수 있는 최고의 철학적 사유를 선사하는 특별한 책이다. 통찰력 있는 주제를 우아하고 적격한 문체로 풀어나가는 『당신 인생의 이야기』는 SF 소재를 언급할 필요도 없이, 소설을 좋아하는 사람의 서가에 반드시 꽂혀 있어야 하는 작품이다.",1,국내도서-소설/시/희곡
15,9788982739088,3315954,화씨 451,"13,500원",750원,레이 브래드버리 저/박상준 역,황금가지,"책이 금지된 미래,
인간의 생각이 통제되는 사회에 대한 통렬한 경고!

과학 기술 발달 이면의 퇴색해 가는 정신문화를 되살리려는 사람들의 이야기를 다룬 디스토피아적 미래 소설로, 책이 금지된 가까운 미래를 배경으로, 인간의 생각이 통제되는 사회에 대한 강렬한 경고 메시지를 담고 있다.

책을 불태우는 것이 직업인 방화수로 살고 있는 가이 몬태그. 자신의 일상에 전혀 아무런 의문도 느끼지 못했던 그였지만 어느 날 옆집 소녀 클라리세를 만나면서 그의 인생에 변화가 시작된다.",1,국내도서-소설/시/희곡
16,9788960174191,7218436,제노사이드,"16,200원",900원,다카노 가즈아키 저/김수영 역,황금가지,"『13계단』의 다카노 가즈아키가 6년 만에 내놓은 최신작이다. ‘인류보다 진화한 새로운 생물’의 출현에서 비롯한 인류 종말의 위협과 이를 둘러싼 음모를 추리 스릴러와 SF 기법을 통해 풀어나간 작품으로서, 한국 유학생의 활약과 한국의 ‘정’ 등 한국 문화에 대한 소개 등 한국 독자들이 관심을 가질 만한 내용들이 담겨 있다.

특히 한일 과거사에 대한 일본 우익들의 그릇된 사고를 비판적 시각으로 그려내어 일본에서 상당한 논쟁을 불러일으킨 작품이기도 하다. 실제로 일본 최대 인터넷 서점인 아마존 재팬의 200여 독자 서평 중 거의 대부분이 ‘재미있으나 작품에 담긴 반일 사고가 불편하다’, ‘관동대지진이나 난징대학살에 대한 언급 때문에 거부감이 든다’는 등 저자의 역사관에 불만을 표출하는 의견이 상당수를 차지한다.",1,국내도서-소설/시/희곡
17,9791158884680,67230426,종이 동물원,"15,300원",850원,켄 리우 저/장성주 역,황금가지,"가장 주목받는 SF 환상문학 작가 켄 리우의 소설집. 최고의 권위를 자랑하는 휴고 상, 네뷸러 상, 세계환상문학상을 40년만에 첫 동시 수상한 대표작 「종이 동물원」을 비롯하여 SF에서부터 하드보일드, 대체 역사, 전기(傳奇)소설에 이르기까지 그의 걸작 단편 14편을 수록했다.",1,국내도서-소설/시/희곡
18,9791191247466,126120788,[예스리커버] 당신 인생의 이야기 + 숨,"31,050원","1,720원",테드 창 저/김상훈 역,엘리,"★ 테드 창 문학의 정수가 담긴 단 두 권의 작품집, 새 옷을 입고 재탄생하다
★ 예스24에서만 만날 수 있는 리커버 한정 양장본
★ 그래픽 스튜디오 워크룸의 과감하고 우주적인 디자인
★ SF의 정수를 구현한 만듦새로 소장 가치를 높이다

단 두 권의 작품집으로 “전 시대를 통틀어 가장 위대한 과학소설 작가 중 한 명”이라는 명성을 얻은, 그 누구와도 다른 독보적인 SF 작가 테드 창의 『당신 인생의 이야기』와 『숨』을 새로운 표지 디자인과 묵직한 장정으로 선보인다. 예스 24에서만 만날 수 있는 이번 리커버 한정 양장본은 그래픽 스튜디오 워크룸에서 작업한 결과물로, 작품 속 가장 중요한 조각들을 찾아내 전에 없이 과감하고 우주적으로 구현한 표지 디자인이 돋보인다. 『당신 인생의 이야기』 표지에서는 지구를 찾아온 지적인 외계 생명체를, 『숨』 표지에서는 기계인간의 허파를 이미지로 형상화했다.",1,국내도서-소설/시/희곡
19,9791168342880,146651623,고래눈이 내리다,"15,120원",840원,김보영 저,래빗홀,"로제타상 후보작, The Best of World SF 선정작 〈고래눈이 내리다〉 수록
당신이, 그리고 세계가 기다려온 김보영 5년 만의 신작 소설집

“김보영의 책은 레이 브래드버리와 어슐러 르 귄, 무라카미 하루키 책장 옆에 놓일 것이다” (《퍼블리셔스 위클리》)

한국 SF를 대표하는 작가 중 한 명이자 세계 독자에게 각별한 사랑을 받아온 소설가 김보영이 《얼마나 닮았는가》 이후로 5년 만에 신작 소설집을 펴냈다. 그간 초기작을 복원하고 기존 작품에 결말을 내는 등의 작업을 이어왔지만, 이 책은 대부분 2020년대에 발표한 작품들로 묶인 신작들이 담겨 독자들에게 반가움을 안긴다. 

이번 소설집에서는 총 9편의 단편소설이 수록된다. 《세계의 훌륭한 SF 선집》에 실린 작품이자 로제타상의 후보작이었던 〈고래눈이 내리다〉를 표제작으로 실어, 심해 생물들에게 목소리를 부여하고 생태 파괴의 문제의식과 지구 회복의 염원을 담아낸다.",1,국내도서-소설/시/희곡
20,9788932923031,117185222,수확자 시리즈 세트,"49,950원","2,770원",닐 셔스터먼 저/이수현 역,열린책들,"전 세계에 『수확자』 돌풍을 일으킨 최고의 SF 화제작!

북미에서만 200만 부 넘게 팔리며 전 세계에 팬덤을 양산한 『수확자』 시리즈가 드디어 한국에 상륙했다! 전미 도서상 수상 작가이자 전작 『드라이』로 한국 독자의 뜨거운 사랑을 받기도 했던 닐 셔스터먼은 수많은 문학상에 이름을 올릴 뿐 아니라 출간 즉시 폭발적인 호응을 얻는 단골 베스트셀러 소설가다.

슈퍼컴퓨터가 통제하는 죽음이 사라진 완벽한 미래, 컴퓨터의 통제를 받지 않는 건 인구 조절을 위해 생명을 끝낼 임무를 맡은 『수확자』들뿐. 의미 있는 죽음이란 무엇인가? 생명을 끝낼 권리는 누구에게 있어야 하는가? 수확자들은 저마다의 신념을 갖고 살아 있는 사신(死神)이 되어 죽음의 낫을 휘두른다. 

『수확자』 시리즈는 점점 더 폭발적으로 확장되는 거대한 스케일, 매력적인 캐릭터와 화려한 전투 장면, 고도로 발달한 미래 세계의 모습 속에서 삶과 죽음의 의미까지 아우르는 철학적 질문들을 능수능란하게 녹여 낸다.",1,국내도서-소설/시/희곡
21,9791164050277,72349693,숨,"16,650원",920원,테드 창 저/김상훈 역,엘리,"최고의 SF에 수여되는 모든 상을 석권하며 전 세계 21개 언어로 번역 출간된 『당신 인생의 이야기』의 작가, 테드 창의 두 번째 작품집이다. 2002년 『당신 인생의 이야기』를 출간한 이래  17년 만에 펴내는 소설집으로, 로커스상, 휴고상, 영국과학소설협회상을 수상한 표제작인「숨」을 비롯해 총 9편의 중 · 단편이 수록되어 있다. 그중 「옴팔로스」「불안은 자유의 현기증」은 최초 공개되는 신작 단편이다. 새로운 기술이 인간 사회에 도래했을 때, 그것이 지닌 가능성은 인간과 사회를 어떻게 변화시키는가. 세상을 바라보는 인간의 태도는 어떻게 변화하며, 그 결과 인간은 어디를 향해 나아가는가. 이 환상적이고 우아한 작품집에서 테드 창은 결코 흉내 낼 수 없는 새로운 상상력을 통해, 인류 역사상 가장 오래된 질문들에 맞서 분투한다. 그리고 훌륭한 SF는 아름다움과 의미와 공감을 자아낼 수 있음을 분명하게 증명한다. ",1,국내도서-소설/시/희곡
22,9788970134819,1444999,은하수를 여행하는 히치하이커를 위한 안내서 3,"12,600원",700원,"더글러스 애덤스 저/김선형,권진아 공역",책세상,"1978년 BBC 라디오 드라마로 시작하여, TV드라마, 책, 음반, 게임 등 온갖 버전으로 확장되며 사랑 받아온 '코믹SF' 장르의 고전. '지구는 어떤 범차원적인 종족이 모든 것에 대한 궁극적인 해답을 얻기 위해 설계한 슈퍼컴퓨터'라는 설정 등 기발한 착상과 유머감각으로 매니아들의 열광적인 사랑을 받아온 시리즈이다.

각자 별난 개성을 자랑하는 다양한 캐릭터들도 재미있다. 엄청나게 높은 지능을 제대로 발휘하지 못하고 있다며 만성 우울증과 편집증에 시달리는 로봇 마빈, 우연한 사고로 불멸의 생명을 얻고 온 우주의 사람들을...",1,국내도서-소설/시/희곡
23,9791168342569,141267375,너의 유토피아,"15,750원",870원,정보라 저,래빗홀,"현대 세계 문학장에서 가장 매력적인 목소리를 내는 작가
정보라 두 번째 소설집 《너의 유토피아》

“분노하고 질문하며 멈춰 애도하고 다시 전진하는 인물들” 최진영(소설가)
“‘당신과 나를 위한 더 나은 세계’를 상상하도록 독려한다.” (《타임》 2024 올해의 책)

부커상과 전미도서상 최종 후보로 선정되었던 정보라의 두 번째 소설집 《너의 유토피아》가 2025년 1월 래빗홀에서 다시 출간되었다. 2021년 출간된 《그녀를 만나다》의 개정판인 이 책은 폐허의 오늘에서 더 나은 세계를 향해 가는 꾸준한 노력을 담아낸 〈너의 유토피아〉를 표제작으로 삼고, 새로운 순서와 장정, 더 정교히 다듬어진 문장으로 정비되어 독자를 만날 채비를 마쳤다. ",2,국내도서-소설/시/희곡
24,9791166687204,119325300,종의 기원담,"15,120원",840원,김보영 저,아작,"한국 SF 최초 전미도서상 후보에 오른 바로 그 작품!
23년에 걸쳐 완성한 김보영 문학의 기원, 한국 SF의 기원!

“이것은 결국 로봇의 이야기다. 사물에 깃든 생명에 바치는 경애다.”

다시 꺼내 보는 말, 2010년 김보영의 소설집 『멀리 가는 이야기』와 『진화신화』가 처음 나왔을 때, 소설가 박민규는 다음과 같이 썼다. “김보영의 작품들이 언젠가 한국 SF의 ‘종의 기원’이 될 것임을 믿어 의심치 않는다.” 그로부터 10년 뒤, 김보영은 영문 단편집 『On the Origin of Species and Other Stories』으로 한국 SF 작가로서는 최초로 전미 도서상 후보에 올랐다. 『On the Origin of Species...』을 읽은 영미권 독자들은 숱한 찬사와 함께 다음과 같이 부르짖었다.",1,국내도서-소설/시/희곡
25,9791193078259,128762278,오렌지와 빵칼,"10,800원",600원,청예 저,허블,"자유를 꿈꾸는 이들을 위한 도발적인 이야기
SF x 미스터리 x 리얼리즘을 훌륭하게 버무린 서사의 향연

“억눌려 있던 그녀의 잿빛 마음이 형형색색으로 빛나기 시작한다. 그녀는 진심으로 끝내주게 웃는다. 그리고 나도 웃었다. 근래 이렇게 무언가를 허겁지겁 먹어치우듯, 탐욕스럽게 읽어 내려간 소설이 또 있었던가.”_강화길(소설가) 추천사 중에서

2년 만에 〈제9회 교보문고 스토리 공모전〉 단편 우수상, 〈제4회 컴투스 글로벌 콘텐츠문학상〉 최우수상, 〈제1회, 제2회 K-스토리 공모전〉 최우수상, 〈2023년 제6회 한국과학문학상〉 장편 대상까지, 초단기간 내에 연달아 문학상을 수상한 청예 작가.

포근한 로맨스 소설부터 미래 기담 SF까지 폭넓은 스펙트럼을 가진 청예는 이윽고 본인 내면에 있는 질척하고 순수한 검은 감정을 내보이며 독자를 찾았다. ‘욕 먹을 각오’를 하고 용기를 내 ‘쓰고 싶은 이야기’를 썼다.",1,국내도서-소설/시/희곡
26,9791158887605,97247852,듄 신장판 전집 세트,"108,000원","2,400원",프랭크 허버트 저/김승욱 역,황금가지,"역사상 가장 많이 팔린 SF이자 독자들이 뽑은 역대 최고의 SF인 프랭크 허버트의 대작 『듄』이 신장판 전집으로 황금가지에서 출간되었다. 2001년 첫 번역본이 출간된 이후 20년 만에 재출간된 신장판은, 기존의 18권 반양장본을 원서와 동일한 6권으로 묶은 양장본으로서, 김승욱 역자가 6개월여의 원본 대조 작업을 통해 번역을 새롭게 손본데다, 전집 가격은 20년 전보다 오히려 10% 이상 낮게 책정되었다.

『듄』은 지금까지 2000만 부 이상의 판매고를 올리며 전 세계에서 가장 많이 판매된 SF로 알려져 있으며, 「컨택트」, 「블레이드 러너 2049」의 감독인 드니 빌뇌브에 의해 대작 할리우드 영화로 올 10월 공개될 예정으로, 예고편 공개만으로 원작 소설이 베스트셀러에 오르는 등 전 세계적으로 높은 주목을 받고 있는 기대작이다.",1,국내도서-소설/시/희곡
27,9788932923055,117188411,선더헤드,"16,650원",920원,닐 셔스터먼 저/이수현 역,열린책들,"전 세계에 『수확자』 돌풍을 일으킨 최고의 SF 화제작!

북미에서만 200만 부 넘게 팔리며 전 세계에 팬덤을 양산한 『수확자』 시리즈가 드디어 한국에 상륙했다! 전미 도서상 수상 작가이자 전작 『드라이』로 한국 독자의 뜨거운 사랑을 받기도 했던 닐 셔스터먼은 수많은 문학상에 이름을 올릴 뿐 아니라 출간 즉시 폭발적인 호응을 얻는 단골 베스트셀러 소설가다.

슈퍼컴퓨터가 통제하는 죽음이 사라진 완벽한 미래, 컴퓨터의 통제를 받지 않는 건 인구 조절을 위해 생명을 끝낼 임무를 맡은 『수확자』들뿐. 의미 있는 죽음이란 무엇인가? 생명을 끝낼 권리는 누구에게 있어야 하는가? 수확자들은 저마다의 신념을 갖고 살아 있는 사신(死神)이 되어 죽음의 낫을 휘두른다. 

『수확자』 시리즈는 점점 더 폭발적으로 확장되는 거대한 스케일, 매력적인 캐릭터와 화려한 전투 장면, 고도로 발달한 미래 세계의 모습 속에서 삶과 죽음의 의미까지 아우르는 철학적 질문들을 능수능란하게 녹여 낸다.",1,국내도서-소설/시/희곡
28,9791168342958,147561135,"다시, 몸으로","15,750원",870원,"김초엽,김청귤,천선란,저우원,청징보,왕칸위 저/김이삭 역",래빗홀,"“우리가 빼앗겼던, 죽여야 했던 몸을 돌려주고 싶어”

2025 상하이번역문학출판사 출간 확정
한국과 중국 여성 SF작가 6인의 신체성에 관한 사유와 탐색

몸이라는 소우주와 세계라는 대우주를 그려낸 한 권의 책. _김이삭(소설가, 번역가)
‘몸’의 무게와 함께, 우리가 몸을 가진 존재이기에 대면하는 자유를 이야기한다. _심완선(SF평론가)

한국과 중국의 여성 SF 소설가 여섯 명이 ‘신체성’이라는 주제에 각자의 개성을 담아낸 단편소설을 선보이는 《다시, 몸으로》가 출간되었다. 한국에서는 올여름 서울국제도서전을 앞두고 출판사 인플루엔셜의 문학 브랜드 래빗홀에서 출간되며, 중국에서는 상하이번역문학출판사(上海?文出版社)에서 올해 8월 현지의 문학주간 행사에 맞추어 출간될 예정이다.",1,국내도서-소설/시/희곡
